,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
14,28,Yes,Travel_Rarely,103,Research & Development,24,Bachelor,Life Sciences,1,19,High,Male,50,Medium,1,Laboratory Technician,High,Single,2028,12947,5,Y,Yes,14,Excellent,Medium,80,0,6,4,Better,4,2,0,3
15,29,No,Travel_Rarely,1389,Research & Development,21,Master,Life Sciences,1,20,Medium,Female,51,Very High,3,Manufacturing Director,Low,Divorced,9980,10195,1,Y,No,11,Excellent,High,80,1,10,1,Better,10,9,8,8
17,22,No,Non-Travel,1123,Research & Development,16,College,Medical,1,22,Very High,Male,96,Very High,1,Laboratory Technician,Very High,Divorced,2935,7324,1,Y,Yes,13,Excellent,Medium,80,2,1,2,Good,1,0,0,0
19,38,No,Travel_Rarely,371,Research & Development,2,Bachelor,Life Sciences,1,24,Very High,Male,45,High,1,Research Scientist,Very High,Single,3944,4306,5,Y,Yes,11,Excellent,High,80,0,6,3,Better,3,2,1,2
21,36,Yes,Travel_Rarely,1218,Sales,9,Master,Life Sciences,1,27,High,Male,82,Medium,1,Sales Representative,Low,Single,3407,6986,7,Y,No,23,Outstanding,Medium,80,0,10,4,Better,5,3,0,3
24,34,Yes,Travel_Rarely,699,Research & Development,6,Below College,Medical,1,31,Medium,Male,83,High,1,Research Scientist,Low,Single,2960,17102,2,Y,No,11,Excellent,High,80,0,8,2,Better,4,2,1,3
27,42,No,Travel_Rarely,691,Sales,8,Master,Marketing,1,35,High,Male,48,High,2,Sales Executive,Medium,Married,6825,21173,0,Y,No,11,Excellent,Very High,80,1,10,2,Better,9,7,4,2
30,33,No,Travel_Rarely,924,Research & Development,2,Bachelor,Medical,1,39,High,Male,78,High,1,Laboratory Technician,Very High,Single,2496,6670,4,Y,No,11,Excellent,Very High,80,0,7,3,Better,1,1,0,0
34,24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor,Medical,1,45,Medium,Male,61,High,1,Research Scientist,Very High,Married,2293,3020,2,Y,Yes,16,Excellent,Low,80,1,6,2,Good,2,0,2,0
35,43,No,Travel_Rarely,1273,Research & Development,2,College,Medical,1,46,Very High,Female,72,Very High,1,Research Scientist,High,Divorced,2645,21923,1,Y,No,12,Excellent,Very High,80,2,6,3,Good,5,3,1,4
36,50,Yes,Travel_Rarely,869,Sales,3,College,Marketing,1,47,Low,Male,86,Medium,1,Sales Representative,High,Married,2683,3810,1,Y,Yes,14,Excellent,High,80,0,3,2,Better,3,2,0,2
37,35,No,Travel_Rarely,890,Sales,2,Bachelor,Marketing,1,49,Very High,Female,97,High,1,Sales Representative,Very High,Married,2014,9687,1,Y,No,13,Excellent,Low,80,0,2,3,Better,2,2,2,2
39,33,No,Travel_Frequently,1141,Sales,1,Bachelor,Life Sciences,1,52,High,Female,42,Very High,2,Sales Executive,Low,Married,5376,3193,2,Y,No,19,Excellent,Low,80,2,10,3,Better,5,3,1,3
40,35,No,Travel_Rarely,464,Research & Development,4,College,Other,1,53,High,Male,75,High,1,Laboratory Technician,Very High,Divorced,1951,10910,1,Y,No,12,Excellent,High,80,1,1,3,Better,1,0,0,0
42,26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor,Life Sciences,1,55,Low,Male,48,Low,1,Laboratory Technician,High,Single,2293,10558,1,Y,No,12,Excellent,High,80,0,1,2,Good,1,0,0,1
44,30,No,Travel_Frequently,721,Research & Development,1,College,Medical,1,57,High,Female,58,High,2,Laboratory Technician,Very High,Single,4011,10781,1,Y,No,23,Outstanding,Very High,80,0,12,2,Better,12,8,3,7
46,34,No,Non-Travel,1065,Sales,23,Master,Marketing,1,60,Medium,Male,72,High,2,Sales Executive,High,Single,4568,10034,0,Y,No,20,Outstanding,High,80,0,10,2,Better,9,5,8,7
47,37,No,Travel_Rarely,408,Research & Development,19,College,Life Sciences,1,61,Medium,Male,73,High,1,Research Scientist,Medium,Married,3022,10227,4,Y,No,21,Outstanding,Low,80,0,8,1,Better,1,0,0,0
48,46,No,Travel_Frequently,1211,Sales,5,Master,Marketing,1,62,Low,Male,98,High,2,Sales Executive,Very High,Single,5772,20445,4,Y,Yes,21,Outstanding,High,80,0,14,4,Better,9,6,0,8
49,35,No,Travel_Rarely,1229,Research & Development,8,Below College,Life Sciences,1,63,Very High,Male,36,Very High,1,Laboratory Technician,Very High,Married,2269,4892,1,Y,No,19,Excellent,Very High,80,0,1,2,Better,1,0,0,1
51,28,Yes,Travel_Rarely,1434,Research & Development,5,Master,Technical Degree,1,65,High,Male,50,High,1,Laboratory Technician,High,Single,3441,11179,1,Y,Yes,13,Excellent,High,80,0,2,3,Good,2,2,2,2
52,44,No,Travel_Rarely,1488,Sales,1,Doctor,Marketing,1,68,Medium,Female,75,High,2,Sales Executive,Low,Divorced,5454,4009,5,Y,Yes,21,Outstanding,High,80,1,9,2,Good,4,3,1,3
53,35,No,Non-Travel,1097,Research & Development,11,College,Medical,1,70,High,Male,79,Medium,3,Healthcare Representative,Low,Married,9884,8302,2,Y,Yes,13,Excellent,High,80,1,10,3,Better,4,0,2,3
54,26,No,Travel_Rarely,1443,Sales,23,Bachelor,Marketing,1,72,High,Female,47,Medium,2,Sales Executive,Very High,Married,4157,21436,7,Y,Yes,19,Excellent,High,80,1,5,2,Good,2,2,0,0
56,35,No,Travel_Frequently,853,Sales,18,Doctor,Life Sciences,1,74,Medium,Male,71,High,3,Sales Executive,Low,Married,9069,11031,1,Y,No,22,Outstanding,Very High,80,1,9,3,Good,9,8,1,8
57,35,No,Travel_Rarely,1142,Research & Development,23,Master,Medical,1,75,High,Female,30,High,1,Laboratory Technician,Low,Married,4014,16002,3,Y,Yes,15,Excellent,High,80,1,4,3,Better,2,2,2,2
58,31,No,Travel_Rarely,655,Research & Development,7,Master,Life Sciences,1,76,Very High,Male,48,High,2,Laboratory Technician,Very High,Divorced,5915,9528,3,Y,No,22,Outstanding,Very High,80,1,10,3,Good,7,7,1,7
59,37,No,Travel_Rarely,1115,Research & Development,1,Master,Life Sciences,1,77,Low,Male,51,Medium,2,Manufacturing Director,High,Divorced,5993,2689,1,Y,No,18,Excellent,High,80,1,7,2,Best,7,5,0,7
60,32,No,Travel_Rarely,427,Research & Development,1,Bachelor,Medical,1,78,Low,Male,33,High,2,Manufacturing Director,Very High,Married,6162,10877,1,Y,Yes,22,Outstanding,Medium,80,1,9,3,Better,9,8,7,8
61,38,No,Travel_Frequently,653,Research & Development,29,Doctor,Life Sciences,1,79,Very High,Female,50,High,2,Laboratory Technician,Very High,Single,2406,5456,1,Y,No,11,Excellent,Very High,80,0,10,2,Better,10,3,9,9
66,36,No,Travel_Frequently,1195,Research & Development,11,Bachelor,Life Sciences,1,85,Medium,Male,95,Medium,2,Manufacturing Director,Medium,Single,6499,22656,1,Y,No,13,Excellent,High,80,0,6,3,Better,6,5,0,3
68,35,No,Travel_Frequently,664,Research & Development,1,Bachelor,Medical,1,88,Medium,Male,79,High,1,Research Scientist,Low,Married,2194,5868,4,Y,No,13,Excellent,Very High,80,1,5,2,Good,3,2,1,2
70,59,No,Travel_Frequently,1225,Sales,1,Below College,Life Sciences,1,91,Low,Female,57,Medium,2,Sales Executive,High,Single,5473,24668,7,Y,No,11,Excellent,Very High,80,0,20,2,Good,4,3,1,3
71,29,No,Travel_Rarely,1328,Research & Development,2,Bachelor,Life Sciences,1,94,High,Male,76,High,1,Research Scientist,Medium,Married,2703,4956,0,Y,No,23,Outstanding,Very High,80,1,6,3,Better,5,4,0,4
72,31,No,Travel_Rarely,1082,Research & Development,1,Master,Medical,1,95,High,Male,87,High,1,Research Scientist,Medium,Single,2501,18775,1,Y,No,17,Excellent,Medium,80,0,1,4,Better,1,1,1,0
73,32,No,Travel_Rarely,548,Research & Development,1,Bachelor,Life Sciences,1,96,Medium,Male,66,High,2,Research Scientist,Medium,Married,6220,7346,1,Y,No,17,Excellent,Medium,80,2,10,3,Better,10,4,0,9
74,36,No,Travel_Rarely,132,Research & Development,6,Bachelor,Life Sciences,1,97,Medium,Female,55,Very High,1,Laboratory Technician,Very High,Married,3038,22002,3,Y,No,12,Excellent,Medium,80,0,5,3,Better,1,0,0,0
75,31,No,Travel_Rarely,746,Research & Development,8,Master,Life Sciences,1,98,High,Female,61,High,2,Manufacturing Director,Very High,Single,4424,20682,1,Y,No,23,Outstanding,Very High,80,0,11,2,Better,11,7,1,8
76,35,No,Travel_Rarely,776,Sales,1,Master,Marketing,1,100,High,Male,32,Medium,2,Sales Executive,Low,Single,4312,23016,0,Y,No,14,Excellent,Medium,80,0,16,2,Better,15,13,2,8
79,46,No,Travel_Rarely,945,Human Resources,5,College,Medical,1,103,Medium,Male,80,High,2,Human Resources,Medium,Divorced,5021,10425,8,Y,Yes,22,Outstanding,Very High,80,1,16,2,Better,4,2,0,2
80,30,No,Travel_Rarely,852,Research & Development,1,Below College,Life Sciences,1,104,Very High,Male,55,Medium,2,Laboratory Technician,Very High,Married,5126,15998,1,Y,Yes,12,Excellent,High,80,2,10,1,Good,10,8,3,0
81,35,No,Travel_Rarely,1214,Research & Development,1,Bachelor,Medical,1,105,Medium,Male,30,Medium,1,Research Scientist,High,Single,2859,26278,1,Y,No,18,Excellent,Low,80,0,6,3,Better,6,4,0,4
84,34,No,Travel_Rarely,1153,Research & Development,1,College,Medical,1,110,Low,Male,94,High,2,Manufacturing Director,Medium,Married,4325,17736,1,Y,No,15,Excellent,High,80,0,5,2,Better,5,2,1,3
86,23,No,Travel_Rarely,541,Sales,2,Below College,Technical Degree,1,113,High,Male,62,High,1,Sales Representative,Low,Divorced,2322,9518,3,Y,No,13,Excellent,High,80,1,3,3,Better,0,0,0,0
87,51,No,Travel_Rarely,432,Research & Development,9,Master,Life Sciences,1,116,Very High,Male,96,High,1,Laboratory Technician,Very High,Married,2075,18725,3,Y,No,23,Outstanding,Medium,80,2,10,4,Better,4,2,0,3
89,46,Yes,Travel_Rarely,669,Sales,9,College,Medical,1,118,High,Male,64,Medium,3,Sales Executive,Very High,Single,9619,13596,1,Y,No,16,Excellent,Very High,80,0,9,3,Better,9,8,4,7
91,51,No,Travel_Rarely,632,Sales,21,Master,Marketing,1,120,High,Male,71,High,2,Sales Executive,Very High,Single,5441,8423,0,Y,Yes,22,Outstanding,Very High,80,0,11,2,Bad,10,7,1,0
96,24,No,Travel_Rarely,1353,Sales,3,College,Other,1,128,Low,Female,33,High,2,Sales Executive,High,Married,4999,17519,0,Y,No,21,Outstanding,Low,80,1,4,2,Good,3,2,0,2
97,28,No,Non-Travel,120,Sales,4,Bachelor,Medical,1,129,Medium,Male,43,High,2,Sales Executive,High,Married,4221,8863,1,Y,No,15,Excellent,Medium,80,0,5,3,Best,5,4,0,4
99,44,No,Non-Travel,489,Research & Development,23,Bachelor,Medical,1,132,Medium,Male,67,High,2,Laboratory Technician,Medium,Married,2042,25043,4,Y,No,12,Excellent,High,80,1,17,3,Best,3,2,1,2
100,37,Yes,Travel_Rarely,807,Human Resources,6,Master,Human Resources,1,133,High,Male,63,High,1,Human Resources,Low,Divorced,2073,23648,4,Y,Yes,22,Outstanding,Very High,80,0,7,3,Better,3,2,0,2
101,32,No,Travel_Rarely,827,Research & Development,1,Below College,Life Sciences,1,134,Very High,Male,71,High,1,Research Scientist,Low,Single,2956,15178,1,Y,No,13,Excellent,Very High,80,0,1,2,Better,1,0,0,0
103,34,No,Travel_Rarely,665,Research & Development,6,Master,Other,1,138,Low,Female,41,High,2,Research Scientist,High,Single,4809,12482,1,Y,No,14,Excellent,High,80,0,16,3,Better,16,13,2,10
104,37,No,Non-Travel,1040,Research & Development,2,College,Life Sciences,1,139,High,Male,100,Medium,2,Healthcare Representative,Very High,Divorced,5163,15850,5,Y,No,14,Excellent,Very High,80,1,17,2,Best,1,0,0,0
107,25,Yes,Travel_Rarely,240,Sales,5,Bachelor,Marketing,1,142,High,Male,46,Medium,2,Sales Executive,High,Single,5744,26959,1,Y,Yes,11,Excellent,Very High,80,0,6,1,Better,6,4,0,3
108,25,No,Travel_Rarely,1280,Research & Development,7,Below College,Medical,1,143,Very High,Male,64,Medium,1,Research Scientist,Very High,Married,2889,26897,1,Y,No,11,Excellent,High,80,2,2,2,Better,2,2,2,1
111,34,Yes,Travel_Frequently,658,Research & Development,7,Bachelor,Life Sciences,1,147,Low,Male,66,Low,2,Laboratory Technician,High,Single,6074,22887,1,Y,Yes,24,Outstanding,Very High,80,0,9,3,Better,9,7,0,6
113,24,No,Travel_Rarely,1127,Research & Development,18,Below College,Life Sciences,1,150,Medium,Male,52,High,1,Laboratory Technician,High,Married,2774,13257,0,Y,No,12,Excellent,High,80,1,6,2,Better,5,3,1,2
114,34,No,Travel_Rarely,1031,Research & Development,6,Master,Life Sciences,1,151,High,Female,45,Medium,2,Research Scientist,Medium,Divorced,4505,15000,6,Y,No,15,Excellent,High,80,1,12,3,Better,1,0,0,0
115,37,No,Travel_Rarely,1189,Sales,3,Bachelor,Life Sciences,1,152,High,Male,87,High,3,Sales Executive,Very High,Single,7428,14506,2,Y,No,12,Excellent,Low,80,0,12,3,Better,5,3,1,3
118,36,No,Travel_Rarely,922,Research & Development,3,College,Life Sciences,1,155,Low,Female,39,High,1,Laboratory Technician,Very High,Divorced,2835,2561,5,Y,No,22,Outstanding,Low,80,1,7,2,Better,1,0,0,0
121,33,No,Non-Travel,750,Sales,22,College,Marketing,1,160,High,Male,95,High,2,Sales Executive,Medium,Married,6146,15480,0,Y,No,13,Excellent,Low,80,1,8,2,Best,7,7,0,7
124,31,Yes,Travel_Rarely,249,Sales,6,Master,Life Sciences,1,163,Medium,Male,76,Low,2,Sales Executive,High,Married,6172,20739,4,Y,Yes,18,Excellent,Medium,80,0,12,3,Good,7,7,7,7
125,26,No,Travel_Rarely,841,Research & Development,6,Bachelor,Other,1,164,High,Female,46,Medium,1,Research Scientist,Medium,Married,2368,23300,1,Y,No,19,Excellent,High,80,0,5,3,Good,5,4,4,3
127,19,Yes,Travel_Rarely,528,Sales,22,Below College,Marketing,1,167,Very High,Male,50,High,1,Sales Representative,High,Single,1675,26820,1,Y,Yes,19,Excellent,Very High,80,0,0,2,Good,0,0,0,0
128,22,No,Travel_Rarely,594,Research & Development,2,Below College,Technical Degree,1,169,High,Male,100,High,1,Laboratory Technician,Very High,Married,2523,19299,0,Y,No,14,Excellent,High,80,1,3,2,Better,2,1,2,1
129,49,No,Travel_Rarely,470,Research & Development,20,Master,Medical,1,170,High,Female,96,High,2,Manufacturing Director,Low,Married,6567,5549,1,Y,No,14,Excellent,High,80,0,16,2,Good,15,11,5,11
130,43,No,Travel_Frequently,957,Research & Development,28,Bachelor,Medical,1,171,Medium,Female,72,Very High,1,Research Scientist,High,Single,4739,16090,4,Y,No,12,Excellent,Very High,80,0,18,2,Better,3,2,1,2
131,50,No,Travel_Frequently,809,Sales,12,Bachelor,Marketing,1,174,High,Female,77,High,3,Sales Executive,Very High,Single,9208,6645,4,Y,No,11,Excellent,Very High,80,0,16,3,Better,2,2,2,1
132,31,Yes,Travel_Rarely,542,Sales,20,Bachelor,Life Sciences,1,175,Medium,Female,71,Low,2,Sales Executive,High,Married,4559,24788,3,Y,Yes,11,Excellent,High,80,1,4,2,Better,2,2,2,2
133,41,No,Travel_Rarely,802,Sales,9,Below College,Life Sciences,1,176,High,Male,96,High,3,Sales Executive,High,Divorced,8189,21196,3,Y,Yes,13,Excellent,High,80,1,12,2,Better,9,7,0,7
134,26,No,Travel_Rarely,1355,Human Resources,25,Below College,Life Sciences,1,177,High,Female,61,High,1,Human Resources,High,Married,2942,8916,1,Y,No,23,Outstanding,Very High,80,1,8,3,Better,8,7,5,7
136,51,Yes,Travel_Frequently,1150,Research & Development,8,Master,Life Sciences,1,179,Low,Male,53,Low,3,Manufacturing Director,Very High,Single,10650,25150,2,Y,No,15,Excellent,Very High,80,0,18,2,Better,4,2,0,3
137,39,No,Travel_Rarely,1329,Sales,4,Master,Life Sciences,1,182,Very High,Female,47,Medium,2,Sales Executive,High,Married,5902,14590,4,Y,No,14,Excellent,High,80,1,17,1,Best,15,11,5,9
138,25,No,Travel_Rarely,959,Sales,28,Bachelor,Life Sciences,1,183,Low,Male,41,Medium,2,Sales Executive,High,Married,8639,24835,2,Y,No,18,Excellent,Very High,80,0,6,3,Better,2,2,2,2
139,30,No,Travel_Rarely,1240,Human Resources,9,Bachelor,Human Resources,1,184,High,Male,48,High,2,Human Resources,Very High,Married,6347,13982,0,Y,Yes,19,Excellent,Very High,80,0,12,2,Bad,11,9,4,7
140,32,Yes,Travel_Rarely,1033,Research & Development,9,Bachelor,Medical,1,190,Low,Female,41,High,1,Laboratory Technician,Low,Single,4200,10224,7,Y,No,22,Outstanding,Low,80,0,10,2,Best,5,4,0,4
141,45,No,Travel_Rarely,1316,Research & Development,29,Bachelor,Medical,1,192,High,Male,83,High,1,Research Scientist,Very High,Single,3452,9752,5,Y,No,13,Excellent,Medium,80,0,9,2,Good,6,5,0,3
142,38,No,Travel_Rarely,364,Research & Development,3,Doctor,Technical Degree,1,193,Very High,Female,32,High,2,Research Scientist,High,Single,4317,2302,3,Y,Yes,20,Outstanding,Medium,80,0,19,2,Better,3,2,2,2
143,30,No,Travel_Rarely,438,Research & Development,18,Bachelor,Life Sciences,1,194,Low,Female,75,High,1,Research Scientist,High,Single,2632,23910,1,Y,No,14,Excellent,High,80,0,5,4,Good,5,4,0,4
145,30,No,Travel_Rarely,201,Research & Development,5,Bachelor,Technical Degree,1,197,Very High,Female,84,High,1,Research Scientist,Low,Divorced,3204,10415,5,Y,No,14,Excellent,Very High,80,1,8,3,Better,3,2,2,2
146,30,No,Travel_Rarely,1427,Research & Development,2,Below College,Medical,1,198,Medium,Male,35,Medium,1,Laboratory Technician,Very High,Single,2720,11162,0,Y,No,13,Excellent,Very High,80,0,6,3,Better,5,3,1,2
148,41,No,Travel_Rarely,933,Research & Development,9,Master,Life Sciences,1,200,High,Male,94,High,1,Laboratory Technician,Low,Married,2238,6961,2,Y,No,21,Outstanding,Very High,80,1,7,2,Better,5,0,1,4
149,19,No,Travel_Rarely,1181,Research & Development,3,Below College,Medical,1,201,Medium,Female,79,High,1,Laboratory Technician,Medium,Single,1483,16102,1,Y,No,14,Excellent,Very High,80,0,1,3,Better,1,0,0,0
150,40,No,Travel_Frequently,1395,Research & Development,26,Bachelor,Medical,1,202,Medium,Female,54,High,2,Research Scientist,Medium,Divorced,5605,8504,1,Y,No,11,Excellent,Low,80,1,20,2,Better,20,7,2,13
151,35,No,Travel_Rarely,662,Sales,1,Doctor,Marketing,1,204,High,Male,94,High,3,Sales Executive,Medium,Married,7295,11439,1,Y,No,13,Excellent,Low,80,2,10,3,Better,10,8,0,6
152,53,No,Travel_Rarely,1436,Sales,6,College,Marketing,1,205,Medium,Male,34,High,2,Sales Representative,High,Married,2306,16047,2,Y,Yes,20,Outstanding,Very High,80,1,13,3,Bad,7,7,4,5
154,32,No,Travel_Frequently,967,Sales,8,Bachelor,Marketing,1,207,Medium,Female,43,High,3,Sales Executive,Very High,Single,8998,15589,1,Y,No,14,Excellent,Very High,80,0,9,2,Better,9,8,3,7
155,29,No,Non-Travel,1496,Research & Development,1,Below College,Technical Degree,1,208,Very High,Male,41,High,2,Manufacturing Director,High,Married,4319,26283,1,Y,No,13,Excellent,Low,80,1,10,1,Better,10,7,0,9
156,51,No,Travel_Rarely,1169,Research & Development,7,Master,Medical,1,211,Medium,Male,34,Medium,2,Manufacturing Director,High,Married,6132,13983,2,Y,No,17,Excellent,High,80,0,10,2,Better,1,0,0,0
157,58,No,Travel_Rarely,1145,Research & Development,9,Bachelor,Medical,1,214,Medium,Female,75,Medium,1,Research Scientist,Medium,Married,3346,11873,4,Y,Yes,20,Outstanding,Medium,80,1,9,3,Good,1,0,0,0
159,34,No,Travel_Frequently,303,Sales,2,Master,Marketing,1,216,High,Female,75,High,1,Sales Representative,High,Married,2231,11314,6,Y,No,18,Excellent,Very High,80,1,6,3,Better,4,3,1,2
161,27,No,Non-Travel,691,Research & Development,9,Bachelor,Medical,1,218,Very High,Male,57,High,1,Research Scientist,Medium,Divorced,2024,5970,6,Y,No,18,Excellent,Very High,80,1,6,1,Bad,2,2,2,2
162,28,No,Travel_Rarely,440,Research & Development,21,Bachelor,Medical,1,221,High,Male,42,High,1,Research Scientist,Very High,Married,2713,6672,1,Y,No,11,Excellent,High,80,1,5,2,Bad,5,2,0,2
163,57,No,Travel_Rarely,334,Research & Development,24,College,Life Sciences,1,223,High,Male,83,Very High,3,Healthcare Representative,Very High,Divorced,9439,23402,3,Y,Yes,16,Excellent,Medium,80,1,12,2,Bad,5,3,1,4
164,27,No,Non-Travel,1450,Research & Development,3,Bachelor,Medical,1,224,High,Male,79,Medium,1,Research Scientist,High,Divorced,2566,25326,1,Y,Yes,15,Excellent,Very High,80,1,1,2,Good,1,1,0,1
166,41,No,Travel_Rarely,465,Research & Development,14,Bachelor,Life Sciences,1,227,Low,Male,56,High,1,Research Scientist,High,Divorced,2451,4609,4,Y,No,12,Excellent,Low,80,1,13,2,Better,9,8,1,8
167,30,No,Travel_Rarely,1339,Sales,5,Bachelor,Life Sciences,1,228,Medium,Female,41,High,3,Sales Executive,Very High,Married,9419,8053,2,Y,No,12,Excellent,High,80,1,12,2,Better,10,9,7,4
168,38,No,Travel_Rarely,702,Sales,1,Master,Life Sciences,1,230,Low,Female,59,Medium,2,Sales Executive,Very High,Single,8686,12930,4,Y,No,22,Outstanding,High,80,0,12,2,Best,8,3,0,7
169,32,No,Travel_Rarely,120,Research & Development,6,Doctor,Life Sciences,1,231,High,Male,43,High,1,Research Scientist,High,Single,3038,12430,3,Y,No,20,Outstanding,Low,80,0,8,2,Better,5,4,1,4
170,27,No,Travel_Rarely,1157,Research & Development,17,Bachelor,Technical Degree,1,233,High,Male,51,High,1,Research Scientist,Medium,Married,3058,13364,0,Y,Yes,16,Excellent,Very High,80,1,6,3,Good,5,2,1,1
172,36,No,Travel_Frequently,1480,Research & Development,3,College,Medical,1,238,Very High,Male,30,High,1,Laboratory Technician,Medium,Single,2088,15062,4,Y,No,12,Excellent,High,80,0,13,3,Good,8,7,7,2
173,30,No,Non-Travel,111,Research & Development,9,Bachelor,Medical,1,239,High,Male,66,High,2,Laboratory Technician,Low,Divorced,3072,11012,1,Y,No,11,Excellent,High,80,2,12,4,Better,12,9,6,10
174,45,No,Travel_Rarely,1268,Sales,4,College,Life Sciences,1,240,High,Female,30,High,2,Sales Executive,Low,Divorced,5006,6319,4,Y,Yes,11,Excellent,Low,80,1,9,3,Best,5,4,0,3
175,56,No,Travel_Rarely,713,Research & Development,8,Bachelor,Life Sciences,1,241,High,Female,67,High,1,Research Scientist,Low,Divorced,4257,13939,4,Y,Yes,18,Excellent,High,80,1,19,3,Better,2,2,2,2
176,33,No,Travel_Rarely,134,Research & Development,2,Bachelor,Life Sciences,1,242,High,Male,90,High,1,Research Scientist,Very High,Single,2500,10515,0,Y,No,14,Excellent,Low,80,0,4,2,Best,3,1,0,2
177,19,Yes,Travel_Rarely,303,Research & Development,2,Bachelor,Life Sciences,1,243,Medium,Male,47,Medium,1,Laboratory Technician,Very High,Single,1102,9241,1,Y,No,22,Outstanding,High,80,0,1,3,Good,1,0,1,0
179,38,No,Travel_Rarely,1380,Research & Development,9,College,Life Sciences,1,245,High,Female,75,High,1,Laboratory Technician,Very High,Single,2288,6319,1,Y,No,12,Excellent,High,80,0,2,3,Better,2,2,2,1
181,34,No,Travel_Rarely,629,Research & Development,27,College,Medical,1,247,Very High,Female,95,High,1,Research Scientist,Medium,Single,2311,5711,2,Y,No,15,Excellent,Very High,80,0,9,3,Better,3,2,1,2
183,50,No,Travel_Rarely,328,Research & Development,1,Bachelor,Medical,1,249,High,Male,86,Medium,1,Laboratory Technician,High,Married,3690,3425,2,Y,No,15,Excellent,Very High,80,1,5,2,Good,3,2,0,2
184,53,No,Travel_Rarely,1084,Research & Development,13,College,Medical,1,250,Very High,Female,57,Very High,2,Manufacturing Director,Low,Divorced,4450,26250,1,Y,No,11,Excellent,High,80,2,5,3,Better,4,2,1,3
188,34,No,Travel_Frequently,1069,Research & Development,2,Below College,Life Sciences,1,256,Very High,Male,45,Medium,2,Manufacturing Director,High,Married,9547,14074,1,Y,No,17,Excellent,High,80,0,10,2,Good,10,9,1,9
191,27,No,Travel_Rarely,894,Research & Development,9,Bachelor,Medical,1,260,Very High,Female,99,High,1,Research Scientist,Medium,Single,2279,11781,1,Y,No,16,Excellent,Very High,80,0,7,2,Good,7,7,0,3
